epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,5400.3,1.34054,1.05962,1.46439,0.90534,0.92026,0.94193,0.57358,1.39686,0.81564,1.57501,0.000454007,0.000454007,0.000454007
149,5436.83,1.31208,1.04698,1.47229,0.97683,0.83102,0.93336,0.571,1.41468,0.81523,1.5906,0.000445756,0.000445756,0.000445756
150,5473.36,1.30692,1.05043,1.44794,0.99434,0.85521,0.94775,0.60676,1.34991,0.8145,1.51428,0.000437504,0.000437504,0.000437504
151,5509.86,1.29605,1.0539,1.4883,0.92971,0.9313,0.95328,0.62141,1.33249,0.80154,1.51789,0.000429253,0.000429253,0.000429253
152,5546.19,1.34447,1.12808,1.50588,0.91719,0.96429,0.9519,0.591,1.4412,0.79147,1.60751,0.000421001,0.000421001,0.000421001
153,5582.49,1.27725,1.06603,1.46439,0.94183,0.94514,0.96153,0.58453,1.46026,0.83257,1.61277,0.000412749,0.000412749,0.000412749
154,5618.72,1.31674,1.10046,1.5224,0.94294,0.96429,0.95697,0.58953,1.40756,0.8706,1.57352,0.000404498,0.000404498,0.000404498
155,5655.08,1.29293,1.03739,1.4653,0.95635,0.96429,0.95377,0.59592,1.38079,0.84426,1.55441,0.000396246,0.000396246,0.000396246
156,5691.36,1.25448,0.99268,1.46985,0.91316,0.95572,0.95328,0.58846,1.45788,0.85604,1.61644,0.000387994,0.000387994,0.000387994
157,5727.5,1.25716,1.03119,1.42122,0.9846,0.94284,0.96083,0.59196,1.47418,0.82212,1.61796,0.000379743,0.000379743,0.000379743
158,5764,1.28249,1.0478,1.47293,0.97906,0.92857,0.95435,0.60372,1.41657,0.80438,1.58944,0.000371491,0.000371491,0.000371491
159,5800.49,1.32526,1.08729,1.51835,0.89776,0.90827,0.94128,0.57453,1.46244,0.81412,1.63648,0.000363239,0.000363239,0.000363239
160,5837.06,1.25165,0.99853,1.40642,0.90226,0.92857,0.93221,0.57674,1.46384,0.84441,1.61341,0.000354988,0.000354988,0.000354988
161,5873.58,1.24188,0.98025,1.42793,0.91355,0.95503,0.93055,0.58873,1.39862,0.83326,1.57469,0.000346736,0.000346736,0.000346736
162,5909.91,1.27789,0.99781,1.46415,0.95957,0.92553,0.93498,0.59513,1.35756,0.82714,1.57182,0.000338484,0.000338484,0.000338484
163,5946.18,1.26776,0.99694,1.4443,0.96009,0.92591,0.944,0.60196,1.36137,0.79772,1.55368,0.000330233,0.000330233,0.000330233
164,5982.76,1.26089,0.9817,1.41114,0.94368,0.90845,0.9436,0.5708,1.46581,0.83109,1.61416,0.000321981,0.000321981,0.000321981
165,6019.13,1.27504,1.02441,1.4469,0.99333,0.85283,0.94138,0.5697,1.43522,0.84899,1.59197,0.000313729,0.000313729,0.000313729
166,6055.62,1.29951,1.03854,1.46777,0.98507,0.89979,0.95637,0.59263,1.38011,0.81505,1.53761,0.000305478,0.000305478,0.000305478
167,6092.38,1.25103,1.02288,1.42234,0.93624,0.96429,0.95838,0.60838,1.37973,0.78699,1.5448,0.000297226,0.000297226,0.000297226
168,6128.9,1.26387,1.00966,1.47781,0.98871,0.92857,0.95833,0.59165,1.40722,0.75303,1.60167,0.000288974,0.000288974,0.000288974
169,6165.26,1.21915,0.99481,1.42088,0.98977,0.92404,0.95845,0.58805,1.42686,0.72985,1.61606,0.000280723,0.000280723,0.000280723
170,6201.68,1.26097,1.01259,1.46087,0.90467,0.95898,0.95413,0.58594,1.42938,0.7185,1.60334,0.000272471,0.000272471,0.000272471
171,6237.97,1.25353,0.98542,1.40393,0.90012,0.96429,0.951,0.57265,1.42563,0.73439,1.59163,0.00026422,0.00026422,0.00026422
172,6274.47,1.20185,0.94515,1.39784,0.9101,0.90438,0.93386,0.59671,1.38696,0.77888,1.54779,0.000255968,0.000255968,0.000255968
173,6310.76,1.2574,0.92852,1.40737,0.98084,0.9598,0.96081,0.61563,1.34022,0.78885,1.50369,0.000247716,0.000247716,0.000247716
174,6347.14,1.28582,1.02655,1.46568,1,0.95209,0.96084,0.60125,1.36181,0.75547,1.53431,0.000239465,0.000239465,0.000239465
175,6383.5,1.23219,0.96881,1.44077,0.97907,0.96429,0.96093,0.59951,1.37828,0.72037,1.54802,0.000231213,0.000231213,0.000231213
176,6420.28,1.28547,1.03694,1.49269,0.90311,0.96429,0.95605,0.62016,1.38797,0.7174,1.56898,0.000222961,0.000222961,0.000222961
177,6456.8,1.22271,0.99381,1.4547,0.90318,0.96429,0.956,0.58967,1.41727,0.72401,1.60636,0.00021471,0.00021471,0.00021471
178,6493.29,1.27395,1.02833,1.47178,0.90784,0.95336,0.95656,0.60028,1.42804,0.75154,1.59985,0.000206458,0.000206458,0.000206458
